,ID,color,shell_length_initial,shell_width_initial,shell_depth_initial,wet_weight_initial,tank,cage,rep,date,
1 1 2,622,dark green-light green-pink,45.14,21.46,20.91,12.5544,1,1,2,7/7/2024,
1 1 3,623,dark green-light green-pink,50.31,23.81,24.42,18.6428,1,1,3,7/7/2024,
1 1 4,624,dark green-light green-pink,44.27,21.83,20.84,12.3239,1,1,4,7/7/2024,
1 1 5,625,dark green-light green-pink,53.35,26.28,23.84,21.4112,1,1,5,7/7/2024,
1 1 6,626,dark green-light green-pink,50.79,25.66,22.84,19.352,1,1,6,7/7/2024,
1 2 1,627,dark green-light green-pink,52.1,24.4,22.43,17.5588,1,2,1,7/7/2024,
1 2 2,628,dark green-light green-pink,44.38,22.3,19.18,10.6253,1,2,2,7/7/2024,
1 2 3,629,dark green-light green-pink,47.7,24.09,21.76,14.3605,1,2,3,7/7/2024,
1 2 4,630,dark green-light green-pink,53.69,24.24,25.9,21.3935,1,2,4,7/7/2024,
1 2 5,631,dark green-light green-pink,42.15,21.68,18.91,11.3508,1,2,5,7/7/2024,
1 2 6,632,dark green-light green-pink,46.48,23.67,24.87,18.4609,1,2,6,7/7/2024,
1 3 1,633,dark green-light green-pink,57.53,25.78,30.3,30.2947,1,3,1,7/7/2024,
1 3 2,634,dark green-light green-pink,42.86,22.8,20.65,13.129,1,3,2,7/7/2024,
1 3 3,635,dark green-light green-pink,51.09,24.75,22.07,17.1098,1,3,3,7/7/2024,
1 3 4,636,dark green-light green-pink,51.19,22.94,24.02,21.1049,1,3,4,7/7/2024,
1 3 5,637,dark green-light green-pink,41.85,21.49,16.77,8.5102,1,3,5,7/7/2024,
1 3 6,638,dark green-light green-pink,46.75,21.38,20.66,13.0661,1,3,6,7/7/2024,
1 4 1,639,dark green-light green-pink,50.22,24.62,25.48,10.1544,1,4,1,7/7/2024,
1 4 2,640,dark green-light green-pink,45.82,20.7,19.4,13.1669,1,4,2,7/7/2024,
1 4 3,641,dark green-light green-pink,49.87,24.74,25.37,19.968,1,4,3,7/7/2024,
1 4 4,642,dark green-light green-pink,44.75,20.18,20.77,10.2565,1,4,4,7/7/2024,
1 4 5,643,dark green-light green-pink,51.18,22.33,23.53,19.8352,1,4,5,7/7/2024,
1 4 6,644,dark green-light green-pink,44.03,21.53,22.85,15.0788,1,4,6,7/7/2024,
1 5 1,645,dark green-light green-pink,52.2,26.63,23.28,21.5914,1,5,1,7/7/2024,
1 5 2,646,dark green-light green-pink,47.06,22.69,21.89,16.2757,1,5,2,7/7/2024,
1 5 3,647,dark green-light green-pink,48.18,24.63,21.15,14.321,1,5,3,7/7/2024,
1 5 4,648,dark green-light green-pink,45.15,21.28,21.78,12.1392,1,5,4,7/7/2024,
1 5 5,649,dark green-light green-pink,48.48,21.03,24.41,14.162,1,5,5,7/7/2024,
1 5 6,650,dark green-light green-pink,47.81,23.22,19.97,16.2662,1,5,6,7/7/2024,
7 2 1,651,dark green-red,45.66,22.23,21.55,13.0373,7,2,1,7/13/2024,
13 3 1,652,dark green-pink,53.88,28.13,24.59,19.1089,13,3,1,7/13/2024,
19 3 1,653,dark green,55.15,25.44,19.72,13.9365,19,3,1,7/13/2024,
9 ctrl ,654,red,52.91,24.77,25.33,18.7051,9,ctrl,,7/13/2024,tagged 110
18 ctrl ,655,pink-light green,55.71,26.84,27.99,25.8501,18,ctrl,,7/13/2024,tagged 109
18 3 6,656,pink-light green,46.33,20.93,19.62,12.8865,18,3,6,7/13/2024,
14 ctrl ,657,tag,55.02,28.01,27.46,26.7383,14,ctrl,,7/15/2024,tagged 111
11 ctrl ,658,tag,51.56,24.78,22.65,13.3313,11,ctrl,,7/15/2024,tagged 112
11 4 3,659,light green-red-dark green,62.28,26.66,27,29.624,11,4,3,7/15/2024,
11 2 3,660,light green-red-dark green,50.06,23.76,20.96,15.7236,11,2,3,7/15/2024,
11 1 1,661,light green-red-dark green,47.1,23.77,22.5,18.8545,11,1,1,7/15/2024,
17 2 1,662,pink-dark green,60.37,28.88,28.78,30.7077,17,2,1,7/15/2024,
13 5 5,663,dark green-pink,59.74,26.63,26.86,24.1205,13,5,5,7/15/2024,
5 5 5,664,pink-red,49.92,24.48,25.41,23.2043,5,5,5,7/15/2024,
4 4 3,665,light green,61.19,29.34,28.28,28.0885,4,4,3,7/15/2024,
4 2 2,666,light green,57.14,26.45,22.74,21.5315,4,2,2,7/20/2024,
7 4 1,667,dark green-red,53.43,26.48,22.94,19.2686,7,4,1,7/20/2024,
15 5 4,668,red-light green,49.41,22.97,22.47,18.0374,15,5,4,7/20/2024,
11 2 2,669,light green-red-dark green,57.64,25.82,27.29,25.7684,11,2,2,7/20/2024,
1 5 3,670,dark green-light green-pink,47.46,23.72,19.95,14.1791,1,5,3,7/20/2024,
1 4 2,671,dark green-light green-pink,52.43,23.4,22.46,12.7051,1,4,2,7/20/2024,
10 4 6,672,dark green-light green,57.21,25.22,24.97,23.2582,10,4,6,7/20/2024,
18 5 4,673,pink-light green,55.39,24.96,22,19.9106,18,5,4,7/20/2024,
14 5 1,674,red-pink,60.18,24.97,24.71,21.6701,14,5,1,7/20/2024,
9 5 2,675,red,50.74,20.71,23.38,15.2029,9,5,2,7/20/2024,
15 5 1,676,pink-light green,50.92,23.86,23.52,18.707,15,5,1,7/22/2024,
13 2 3,677,dark green-pink,48.95,24.76,21.95,16.3964,13,2,3,7/22/2024,
13 2 4,678,dark green-pink,47.86,22.03,21.25,16.3151,13,2,4,7/22/2024,
3 5 2,679,pink,59.54,25.14,22.23,21.1798,3,5,2,7/22/2024,
12 1 4,680,light green-red,45.63,22.46,20.2,13.6389,12,1,4,7/22/2024,
4 1 2,681,light green,43.45,23.19,19.89,12.487,4,1,2,7/22/2024,
19 4 6,682,dark green,57.54,25.51,23.94,23.5109,19,4,6,7/26/2024,
12 1 1,683,light green-red,53.8,23.78,25.33,23.919,12,1,1,7/26/2024,
12 1 4,684,light green-red,50.94,23.64,16.48,11.9599,12,1,4,7/26/2024,
5 2 5,685,pink-red,41.76,21.02,22.79,15.2521,5,2,5,7/26/2024,
8 2 5,686,red-dark green,53.64,25.83,24.72,23.7057,8,2,5,7/26/2024,
6 1 4,687,light green-dark green,53.82,27.65,26.48,27.8145,6,1,4,7/26/2024,
18 2 3,688,pink-light green,46.46,22.64,22.45,15.7257,18,2,3,7/26/2024,
6 5 5,689,light green-dark green,52.26,27.5,23.74,22.75,6,5,5,7/26/2024,
8 1 5,690,red-dark green,59.33,27.76,25.1,26.9142,8,1,5,7/26/2024,
8 4 3,691,red-dark green,43.31,20.96,17.05,9.6509,8,4,3,7/26/2024,
13 1 5,692,dark green-pink,44.17,20.6,21.63,12.8346,13,1,5,7/26/2024,
5 3 4,693,pink-red,51.33,24.91,22.74,18.3066,5,3,4,7/29/2024,
14 5 5,694,red-pink,39.83,20.09,16.87,7.0966,14,5,5,7/29/2024,
14 4 5,695,red-pink,39.14,20.35,19.22,8.691,14,4,5,7/29/2024,
14 3 6,696,red-pink,41.48,21.62,18.82,10.1012,14,3,6,7/29/2024,
17 5 4,697,pink-dark green,62.95,29.97,28.96,34.0865,17,5,4,7/29/2024,
19 3 5,698,dark green,45.18,21.36,18.87,12.2113,19,3,5,7/29/2024,
19 5 1,699,dark green,48.91,24.92,20.92,15.578,19,5,1,7/29/2024,
1 4 4,700,dark green-light green-pink,44.84,21.45,19.46,11.8584,1,4,4,7/29/2024,
8 3 4,701,red-dark green,47.3,23.03,22.16,15.1284,8,3,4,7/29/2024,
17 4 4,702,pink-dark green,39.51,20.35,19.35,9.8099,17,4,4,7/29/2024,
19 3 6,703,dark green,42.31,20.26,18.96,11.889,19,3,6,7/29/2024,
7 4 1,704,dark green-red,44.51,21.68,18.68,12.5313,7,4,1,7/29/2024,
6 1 4,705,light green-dark green,48.82,22.58,19.36,14.0007,6,1,4,7/29/2024,
7 3 0,706,dark green-red,48.61,23.22,19.76,12.7149,7,3,0,7/29/2024,
14 5 0,707,red-pink,48.09,23.02,23.06,17.0283,14,5,0,7/29/2024,
4 2 5,708,light green,41.57,18.79,19.71,10.2256,4,2,5,8/3/2024,
4 4 4,709,light green,37.78,18.7,16.14,6.9302,4,4,4,8/3/2024,
2 5 3,710,light green-pink,40.47,19.36,16.64,8.975,2,5,3,8/3/2024,
2 5 4,711,light green-pink,59.13,23.9,23.43,26.2875,2,5,4,8/3/2024,
2 4 6,712,light green-pink,39.57,17.69,17.02,8.9389,2,4,6,8/3/2024,
3 2 4,713,pink,39.03,19.54,20.09,11.3089,3,2,4,8/3/2024,
1 4 1,714,dark green-light green-pink,40.03,18.7,16.89,8.7824,1,4,1,8/3/2024,
6 4 6,715,light green-dark green,39.36,17.79,17.53,8.1529,6,4,6,8/3/2024,
6 4 1,716,light green-dark green,60.59,26.69,26.94,25.1827,6,4,1,8/3/2024,
6 5 5,717,light green-dark green,37.24,19.12,15.56,6.2416,6,5,5,8/3/2024,
10 2 4,718,dark green-light green,36.43,17.86,16.82,8.688,10,2,4,8/3/2024,
19 4 6,719,dark green,59.99,25.53,26.25,28.1756,19,4,6,8/3/2024,
19 1 2,720,dark green,35.85,17.67,15.59,8.8858,19,1,2,8/3/2024,
19 1 6,721,dark green,37.51,19.29,16.37,7.961,19,1,6,8/3/2024,
7 5 6,722,dark green-red,37.88,18.65,16.95,7.6211,7,5,6,8/3/2024,
8 5 6,723,red-dark green,35.57,16.84,15.3,5.6286,8,5,6,8/3/2024,
9 4 6,724,red,40.6,18.68,17.35,9.1299,9,4,6,8/3/2024,
9 1 3,725,red,63.51,27.01,25.65,23.4729,9,1,3,8/3/2024,
15 5 4,726,red-light green,36.22,16.92,16.81,7.6955,15,5,4,8/3/2024,
12 4 3,727,light green-red,37.18,18.7,15.35,6.8436,12,4,3,8/3/2024,
5 1 2,728,pink-red,39.36,17.6,17.07,9.4935,5,1,2,8/3/2024,
5 3 3,729,pink-red,37.75,18.21,14.4,7.6367,5,3,3,8/3/2024,
